BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
,16, 4000,,1000, SR, lab004-075, 7, 7, 15, 22, 0.000144, -
,16, 4000,,1000, RS, lab004-076, 10, 10, 2, 12, 0.000267, -
,16, 4000,,1000, RS, lab004-077, 12, 12, 4, 16, 0.000194, -
,16, 4000,,1000, SR, lab004-075, 5, 5, 13, 18, 0.000238, -
,16, 4000,,1000, SR, lab004-074, 0, 0, 8, 8, 0.000265, -
,16, 4000,,1000, RS, lab004-077, 14, 14, 6, 20, 0.000117, -
,16, 4000,,1000, SR, lab004-075, 4, 4, 12, 16, 0.000202, -
,16, 4000,,1000, SR, lab004-074, 2, 2, 10, 12, 0.000266, -
,16, 4000,,1000, RS, lab004-077, 13, 13, 5, 18, 0.000221, -
,16, 4000,,1000, SR, lab004-074, 3, 3, 11, 14, 0.000267, -
,16, 4000,,1000, RS, lab004-077, 15, 15, 7, 22, 0.000227, -
,16, 4000,,1000, SR, lab004-075, 6, 6, 14, 20, 0.000203, -
,16, 4000,,1000, SR, lab004-075, 5, 5, 13, 18, 0.000184, -
,16, 4000,,1000, RS, lab004-076, 8, 8, 0, 8, 0.000265, -
,16, 4000,,1000, RS, lab004-077, 12, 12, 4, 16, 0.000177, -
,16, 4000,,1000, SR, lab004-075, 7, 7, 15, 22, 0.000195, -
,16, 4000,,1000, RS, lab004-076, 11, 11, 3, 14, 0.000255, -
,16, 4000,,1000, RS, lab004-077, 14, 14, 6, 20, 0.000149, -
,16, 4000,,1000, SR, lab004-075, 4, 4, 12, 16, 0.000153, -
,16, 4000,,1000, RS, lab004-077, 13, 13, 5, 18, 0.000155, -
,16, 4000,,1000, SR, lab004-075, 6, 6, 14, 20, 0.000214, -
,16, 4000,,1000, SR, lab004-075, 5, 5, 13, 18, 0.000177, -
,16, 4000,,1000, RS, lab004-077, 12, 12, 4, 16, 0.000155, -
,16, 4000,,1000, SR, lab004-075, 4, 4, 12, 16, 0.000170, -
,16, 4000,,1000, RS, lab004-076, 9, 9, 1, 10, 0.000473, -
,16, 4000,,1000, SR, lab004-075, 7, 7, 15, 22, 0.000184, -
,16, 4000,,1000, SR, lab004-074, 2, 2, 10, 12, 0.000280, -
,16, 4000,,1000, RS, lab004-077, 15, 15, 7, 22, 0.000212, -
,16, 4000,,1000, SR, lab004-075, 6, 6, 14, 20, 0.000202, -
,16, 4000,,1000, SR, lab004-074, 0, 0, 8, 8, 0.000281, -
,16, 4000,,1000, RS, lab004-077, 13, 13, 5, 18, 0.000204, -
,16, 4000,,1000, RS, lab004-077, 14, 14, 6, 20, 0.000144, -
,16, 4000,,1000, SR, lab004-075, 5, 5, 13, 18, 0.000199, -
,16, 4000,,1000, SR, lab004-074, 3, 3, 11, 14, 0.000280, -
,16, 4000,,1000, RS, lab004-077, 12, 12, 4, 16, 0.000196, -
,16, 4000,,1000, RS, lab004-076, 10, 10, 2, 12, 0.000262, -
,16, 4000,,1000, RS, lab004-076, 8, 8, 0, 8, 0.000263, -
,16, 4000,,1000, RS, lab004-077, 15, 15, 7, 22, 0.000242, -
,16, 4000,,1000, RS, lab004-076, 11, 11, 3, 14, 0.000271, -
,16, 4000,,1000, SR, lab004-074, 1, 1, 9, 10, 0.000497, -
,16, 4000,,1000, SR, lab004-075, 4, 4, 12, 16, 0.000194, -
,16, 4000,,1000, RS, lab004-076, 10, 10, 2, 12, 0.000269, -
,16, 4000,,1000, RS, lab004-077, 14, 14, 6, 20, 0.000195, -
,16, 4000,,1000, SR, lab004-074, 2, 2, 10, 12, 0.000244, -
,16, 4000,,1000, RS, lab004-077, 13, 13, 5, 18, 0.000202, -
,16, 4000,,1000, SR, lab004-074, 3, 3, 11, 14, 0.000249, -
,16, 4000,,1000, RS, lab004-077, 12, 12, 4, 16, 0.000159, -
,16, 4000,,1000, SR, lab004-074, 0, 0, 8, 8, 0.000251, -
,16, 4000,,1000, RS, lab004-076, 8, 8, 0, 8, 0.000315, -
,16, 4000,,1000, RS, lab004-076, 11, 11, 3, 14, 0.000307, -
,16, 4000,,1000, RS, lab004-076, 9, 9, 1, 10, 0.000484, -
,16, 4000,,1000, RS, lab004-077, 14, 14, 6, 20, 0.000257, -
,16, 4000,,1000, SR, lab004-075, 6, 6, 14, 20, 0.000351, -
,16, 4000,,1000, SR, lab004-075, 7, 7, 15, 22, 0.000373, -
,16, 4000,,1000, SR, lab004-074, 0, 0, 8, 8, 0.000261, -
,16, 4000,,1000, RS, lab004-077, 12, 12, 4, 16, 0.000284, -
,16, 4000,,1000, SR, lab004-075, 5, 5, 13, 18, 0.000356, -
,16, 4000,,1000, SR, lab004-074, 2, 2, 10, 12, 0.000267, -
,16, 4000,,1000, RS, lab004-077, 13, 13, 5, 18, 0.000356, -
,16, 4000,,1000, SR, lab004-074, 3, 3, 11, 14, 0.000261, -
,16, 4000,,1000, RS, lab004-077, 15, 15, 7, 22, 0.000492, -
,16, 4000,,1000, SR, lab004-075, 4, 4, 12, 16, 0.000255, -
,16, 4000,,1000, SR, lab004-075, 6, 6, 14, 20, 0.000195, -
,16, 4000,,1000, RS, lab004-076, 10, 10, 2, 12, 0.000249, -
,16, 4000,,1000, SR, lab004-075, 4, 4, 12, 16, 0.000190, -
,16, 4000,,1000, RS, lab004-076, 8, 8, 0, 8, 0.000204, -
,16, 4000,,1000, SR, lab004-075, 5, 5, 13, 18, 0.000195, -
,16, 4000,,1000, RS, lab004-076, 11, 11, 3, 14, 0.000210, -
,16, 4000,,1000, SR, lab004-075, 7, 7, 15, 22, 0.000225, -
,16, 4000,,1000, SR, lab004-074, 1, 1, 9, 10, 0.000482, -
,16, 4000,,1000, RS, lab004-077, 12, 12, 4, 16, 0.000198, -
,16, 4000,,1000, SR, lab004-075, 6, 6, 14, 20, 0.000204, -
,16, 4000,,1000, RS, lab004-076, 10, 10, 2, 12, 0.000261, -
,16, 4000,,1000, SR, lab004-075, 4, 4, 12, 16, 0.000200, -
,16, 4000,,1000, SR, lab004-074, 0, 0, 8, 8, 0.000264, -
,16, 4000,,1000, RS, lab004-077, 14, 14, 6, 20, 0.000127, -
,16, 4000,,1000, RS, lab004-077, 13, 13, 5, 18, 0.000235, -
,16, 4000,,1000, SR, lab004-075, 5, 5, 13, 18, 0.000263, -
,16, 4000,,1000, SR, lab004-074, 2, 2, 10, 12, 0.000257, -
,16, 4000,,1000, SR, lab004-075, 7, 7, 15, 22, 0.000176, -
,16, 4000,,1000, SR, lab004-074, 3, 3, 11, 14, 0.000261, -
,16, 4000,,1000, RS, lab004-077, 15, 15, 7, 22, 0.000258, -
,16, 4000,,1000, SR, lab004-075, 4, 4, 12, 16, 0.000165, -
,16, 4000,,1000, RS, lab004-076, 8, 8, 0, 8, 0.000305, -
,16, 4000,,1000, RS, lab004-077, 12, 12, 4, 16, 0.000197, -
,16, 4000,,1000, RS, lab004-076, 11, 11, 3, 14, 0.000257, -
,16, 4000,,1000, RS, lab004-077, 14, 14, 6, 20, 0.000141, -
,16, 4000,,1000, SR, lab004-075, 6, 6, 14, 20, 0.000212, -
,16, 4000,,1000, RS, lab004-076, 9, 9, 1, 10, 0.000479, -
,16, 4000,,1000, RS, lab004-077, 13, 13, 5, 18, 0.000200, -
,16, 4000,,1000, SR, lab004-075, 5, 5, 13, 18, 0.000191, -
,16, 4000,,1000, SR, lab004-074, 0, 0, 8, 8, 0.000275, -
,16, 4000,,1000, RS, lab004-077, 15, 15, 7, 22, 0.000204, -
,16, 4000,,1000, SR, lab004-075, 4, 4, 12, 16, 0.000196, -
,16, 4000,,1000, SR, lab004-074, 2, 2, 10, 12, 0.000281, -
,16, 4000,,1000, RS, lab004-077, 12, 12, 4, 16, 0.000155, -
,16, 4000,,1000, SR, lab004-075, 7, 7, 15, 22, 0.000210, -
,16, 4000,,1000, SR, lab004-074, 3, 3, 11, 14, 0.000277, -
,16, 4000,,1000, RS, lab004-077, 14, 14, 6, 20, 0.000149, -
,16, 4000,,1000, RS, lab004-077, 13, 13, 5, 18, 0.000203, -
,16, 4000,,1000, SR, lab004-075, 6, 6, 14, 20, 0.000191, -
,16, 4000,,1000, RS, lab004-076, 10, 10, 2, 12, 0.000264, -
,16, 4000,,1000, RS, lab004-076, 8, 8, 0, 8, 0.000221, -
,16, 4000,,1000, RS, lab004-076, 11, 11, 3, 14, 0.000257, -
,16, 4000,,1000, SR, lab004-074, 1, 1, 9, 10, 0.000498, -
,16, 4000,,1000, SR, lab004-075, 5, 5, 13, 18, 0.000190, -
,16, 4000,,1000, RS, lab004-076, 10, 10, 2, 12, 0.000279, -
,16, 4000,,1000, RS, lab004-077, 12, 12, 4, 16, 0.000172, -
,16, 4000,,1000, SR, lab004-075, 4, 4, 12, 16, 0.000147, -
,16, 4000,,1000, SR, lab004-074, 0, 0, 8, 8, 0.000254, -
,16, 4000,,1000, RS, lab004-077, 14, 14, 6, 20, 0.000162, -
,16, 4000,,1000, RS, lab004-077, 15, 15, 7, 22, 0.000310, -
,16, 4000,,1000, SR, lab004-075, 6, 6, 14, 20, 0.000205, -
,16, 4000,,1000, SR, lab004-074, 3, 3, 11, 14, 0.000254, -
,16, 4000,,1000, SR, lab004-075, 7, 7, 15, 22, 0.000217, -
,16, 4000,,1000, SR, lab004-074, 2, 2, 10, 12, 0.000253, -
,16, 4000,,1000, RS, lab004-077, 13, 13, 5, 18, 0.000201, -
,16, 4000,,1000, RS, lab004-076, 8, 8, 0, 8, 0.000276, -
,16, 4000,,1000, RS, lab004-077, 12, 12, 4, 16, 0.000179, -
,16, 4000,,1000, RS, lab004-076, 11, 11, 3, 14, 0.000280, -
,16, 4000,,1000, SR, lab004-075, 5, 5, 13, 18, 0.000218, -
,16, 4000,,1000, RS, lab004-076, 9, 9, 1, 10, 0.000502, -
,16, 4000,,1000, RS, lab004-077, 14, 14, 6, 20, 0.000152, -
,16, 4000,,1000, SR, lab004-075, 4, 4, 12, 16, 0.000161, -
,16, 4000,,1000, SR, lab004-074, 0, 0, 8, 8, 0.000275, -
,16, 4000,,1000, RS, lab004-077, 12, 12, 4, 16, 0.000155, -
,16, 4000,,1000, SR, lab004-074, 3, 3, 11, 14, 0.000275, -
,16, 4000,,1000, RS, lab004-077, 13, 13, 5, 18, 0.000196, -
,16, 4000,,1000, SR, lab004-075, 6, 6, 14, 20, 0.000196, -
,16, 4000,,1000, SR, lab004-074, 2, 2, 10, 12, 0.000275, -
,16, 4000,,1000, RS, lab004-077, 15, 15, 7, 22, 0.000255, -
,16, 4000,,1000, SR, lab004-075, 4, 4, 12, 16, 0.000187, -
,16, 4000,,1000, SR, lab004-075, 5, 5, 13, 18, 0.000196, -
,16, 4000,,1000, RS, lab004-076, 10, 10, 2, 12, 0.000256, -
,16, 4000,,1000, SR, lab004-075, 7, 7, 15, 22, 0.000200, -
,16, 4000,,1000, RS, lab004-076, 8, 8, 0, 8, 0.000256, -
,16, 4000,,1000, RS, lab004-076, 11, 11, 3, 14, 0.000269, -
,16, 4000,,1000, SR, lab004-074, 1, 1, 9, 10, 0.000496, -
,16, 4000,,1000, SR, lab004-075, 6, 6, 14, 20, 0.000162, -
,16, 4000,,1000, RS, lab004-076, 10, 10, 2, 12, 0.000265, -
,16, 4000,,1000, RS, lab004-077, 14, 14, 6, 20, 0.000115, -
,16, 4000,,1000, SR, lab004-075, 4, 4, 12, 16, 0.000212, -
,16, 4000,,1000, SR, lab004-074, 3, 3, 11, 14, 0.000247, -
,16, 4000,,1000, RS, lab004-077, 12, 12, 4, 16, 0.000197, -
,16, 4000,,1000, SR, lab004-075, 5, 5, 13, 18, 0.000223, -
,16, 4000,,1000, SR, lab004-074, 0, 0, 8, 8, 0.000254, -
,16, 4000,,1000, RS, lab004-077, 13, 13, 5, 18, 0.000208, -
,16, 4000,,1000, SR, lab004-075, 7, 7, 15, 22, 0.000174, -
,16, 4000,,1000, SR, lab004-074, 2, 2, 10, 12, 0.000246, -
,16, 4000,,1000, RS, lab004-077, 15, 15, 7, 22, 0.000253, -
,16, 4000,,1000, RS, lab004-077, 14, 14, 6, 20, 0.000151, -
,16, 4000,,1000, SR, lab004-075, 6, 6, 14, 20, 0.000208, -
,16, 4000,,1000, RS, lab004-076, 8, 8, 0, 8, 0.000302, -
,16, 4000,,1000, RS, lab004-076, 11, 11, 3, 14, 0.000243, -
,16, 4000,,1000, RS, lab004-077, 12, 12, 4, 16, 0.000203, -
,16, 4000,,1000, RS, lab004-077, 13, 13, 5, 18, 0.000200, -
,16, 4000,,1000, SR, lab004-075, 4, 4, 12, 16, 0.000205, -
,16, 4000,,1000, RS, lab004-076, 9, 9, 1, 10, 0.000479, -
,16, 4000,,1000, RS, lab004-077, 15, 15, 7, 22, 0.000210, -
,16, 4000,,1000, SR, lab004-075, 5, 5, 13, 18, 0.000185, -
,16, 4000,,1000, SR, lab004-074, 3, 3, 11, 14, 0.000273, -
,16, 4000,,1000, RS, lab004-077, 14, 14, 6, 20, 0.000177, -
,16, 4000,,1000, SR, lab004-075, 7, 7, 15, 22, 0.000179, -
,16, 4000,,1000, SR, lab004-074, 0, 0, 8, 8, 0.000266, -
,16, 4000,,1000, RS, lab004-077, 12, 12, 4, 16, 0.000207, -
,16, 4000,,1000, SR, lab004-075, 6, 6, 14, 20, 0.000203, -
,16, 4000,,1000, SR, lab004-074, 2, 2, 10, 12, 0.000272, -
,16, 4000,,1000, RS, lab004-077, 13, 13, 5, 18, 0.000202, -
,16, 4000,,1000, SR, lab004-075, 4, 4, 12, 16, 0.000201, -
,16, 4000,,1000, RS, lab004-076, 10, 10, 2, 12, 0.000255, -
,16, 4000,,1000, SR, lab004-075, 5, 5, 13, 18, 0.000208, -
,16, 4000,,1000, RS, lab004-076, 8, 8, 0, 8, 0.000220, -
,16, 4000,,1000, RS, lab004-076, 11, 11, 3, 14, 0.000259, -
,16, 4000,,1000, SR, lab004-074, 1, 1, 9, 10, 0.000487, -
,16, 4000,,1000, RS, lab004-077, 14, 14, 6, 20, 0.000131, -
,16, 4000,,1000, SR, lab004-075, 6, 6, 14, 20, 0.000198, -
,16, 4000,,1000, SR, lab004-075, 7, 7, 15, 22, 0.000187, -
,16, 4000,,1000, RS, lab004-077, 15, 15, 7, 22, 0.000258, -
,16, 4000,,1000, SR, lab004-075, 4, 4, 12, 16, 0.000204, -
,16, 4000,,1000, RS, lab004-077, 12, 12, 4, 16, 0.000209, -
,16, 4000,,1000, SR, lab004-075, 5, 5, 13, 18, 0.000204, -
,16, 4000,,1000, RS, lab004-077, 13, 13, 5, 18, 0.000210, -
,16, 4000,,1000, SR, lab004-075, 6, 6, 14, 20, 0.000152, -
,16, 4000,,1000, RS, lab004-077, 14, 14, 6, 20, 0.000118, -
,16, 4000,,1000, RS, lab004-076, 10, 10, 2, 12, 0.000264, -
,16, 4000,,1000, RS, lab004-077, 15, 15, 7, 22, 0.000253, -
,16, 4000,,1000, SR, lab004-074, 1, 1, 9, 10, 0.000355, -
,16, 4000,,1000, RS, lab004-077, 13, 13, 5, 18, 0.000203, -
,16, 4000,,1000, SR, lab004-074, 2, 2, 10, 12, 0.000251, -
,16, 4000,,1000, SR, lab004-074, 2, 2, 10, 12, 0.000268, -
,16, 4000,,1000, RS, lab004-077, 12, 12, 4, 16, 0.000209, -
,16, 4000,,1000, SR, lab004-074, 0, 0, 8, 8, 0.000249, -
,16, 4000,,1000, SR, lab004-074, 0, 0, 8, 8, 0.000268, -
,16, 4000,,1000, RS, lab004-077, 14, 14, 6, 20, 0.000176, -
,16, 4000,,1000, SR, lab004-074, 3, 3, 11, 14, 0.000248, -
,16, 4000,,1000, SR, lab004-074, 3, 3, 11, 14, 0.000266, -
,16, 4000,,1000, RS, lab004-076, 8, 8, 0, 8, 0.000262, -
,16, 4000,,1000, RS, lab004-076, 11, 11, 3, 14, 0.000254, -
,16, 4000,,1000, RS, lab004-076, 9, 9, 1, 10, 0.000487, -
,16, 4000,,1000, RS, lab004-076, 10, 10, 2, 12, 0.000258, -
,16, 4000,,1000, RS, lab004-076, 8, 8, 0, 8, 0.000259, -
,16, 4000,,1000, RS, lab004-076, 11, 11, 3, 14, 0.000286, -
,16, 4000,,1000, SR, lab004-075, 6, 6, 14, 20, 0.000315, -
,16, 4000,,1000, RS, lab004-076, 8, 8, 0, 8, 0.000268, -
,16, 4000,,1000, RS, lab004-077, 12, 12, 4, 16, 0.000338, -
,16, 4000,,1000, SR, lab004-075, 7, 7, 15, 22, 0.000374, -
,16, 4000,,1000, SR, lab004-074, 2, 2, 10, 12, 0.000267, -
,16, 4000,,1000, RS, lab004-077, 14, 14, 6, 20, 0.000268, -
,16, 4000,,1000, SR, lab004-074, 0, 0, 8, 8, 0.000267, -
,16, 4000,,1000, RS, lab004-077, 13, 13, 5, 18, 0.000384, -
,16, 4000,,1000, SR, lab004-075, 4, 4, 12, 16, 0.000358, -
,16, 4000,,1000, SR, lab004-075, 5, 5, 13, 18, 0.000360, -
,16, 4000,,1000, SR, lab004-074, 3, 3, 11, 14, 0.000268, -
,16, 4000,,1000, RS, lab004-077, 15, 15, 7, 22, 0.000434, -
,16, 4000,,1000, SR, lab004-075, 4, 4, 12, 16, 0.000191, -
,16, 4000,,1000, RS, lab004-076, 10, 10, 2, 12, 0.000270, -
,16, 4000,,1000, SR, lab004-075, 6, 6, 14, 20, 0.000226, -
,16, 4000,,1000, RS, lab004-076, 11, 11, 3, 14, 0.000249, -
,16, 4000,,1000, SR, lab004-075, 5, 5, 13, 18, 0.000231, -
,16, 4000,,1000, RS, lab004-076, 9, 9, 1, 10, 0.000487, -
,16, 4000,,1000, RS, lab004-077, 12, 12, 4, 16, 0.000195, -
,16, 4000,,1000, SR, lab004-075, 7, 7, 15, 22, 0.000198, -
,16, 4000,,1000, SR, lab004-075, 4, 4, 12, 16, 0.000189, -
,16, 4000,,1000, SR, lab004-074, 0, 0, 8, 8, 0.000279, -
,16, 4000,,1000, RS, lab004-077, 14, 14, 6, 20, 0.000125, -
,16, 4000,,1000, SR, lab004-074, 2, 2, 10, 12, 0.000280, -
,16, 4000,,1000, RS, lab004-077, 13, 13, 5, 18, 0.000202, -
,16, 4000,,1000, SR, lab004-075, 6, 6, 14, 20, 0.000203, -
,16, 4000,,1000, SR, lab004-075, 5, 5, 13, 18, 0.000206, -
,16, 4000,,1000, SR, lab004-074, 3, 3, 11, 14, 0.000280, -
,16, 4000,,1000, RS, lab004-077, 15, 15, 7, 22, 0.000254, -
,16, 4000,,1000, SR, lab004-075, 7, 7, 15, 22, 0.000178, -
,16, 4000,,1000, RS, lab004-076, 10, 10, 2, 12, 0.000264, -
,16, 4000,,1000, RS, lab004-077, 12, 12, 4, 16, 0.000199, -
,16, 4000,,1000, RS, lab004-076, 8, 8, 0, 8, 0.000264, -
,16, 4000,,1000, RS, lab004-076, 11, 11, 3, 14, 0.000267, -
,16, 4000,,1000, SR, lab004-074, 1, 1, 9, 10, 0.000498, -
,16, 4000,,1000, SR, lab004-075, 4, 4, 12, 16, 0.000168, -
,16, 4000,,1000, RS, lab004-076, 10, 10, 2, 12, 0.000269, -
,16, 4000,,1000, RS, lab004-077, 14, 14, 6, 20, 0.000155, -
,16, 4000,,1000, RS, lab004-077, 13, 13, 5, 18, 0.000211, -
,16, 4000,,1000, SR, lab004-075, 6, 6, 14, 20, 0.000212, -
,16, 4000,,1000, SR, lab004-074, 2, 2, 10, 12, 0.000241, -
,16, 4000,,1000, SR, lab004-075, 5, 5, 13, 18, 0.000209, -
,16, 4000,,1000, SR, lab004-074, 0, 0, 8, 8, 0.000248, -
,16, 4000,,1000, RS, lab004-077, 15, 15, 7, 22, 0.000179, -
,16, 4000,,1000, SR, lab004-075, 7, 7, 15, 22, 0.000174, -
,16, 4000,,1000, SR, lab004-074, 3, 3, 11, 14, 0.000244, -
,16, 4000,,1000, RS, lab004-077, 12, 12, 4, 16, 0.000172, -
,16, 4000,,1000, SR, lab004-075, 4, 4, 12, 16, 0.000208, -
,16, 4000,,1000, RS, lab004-076, 8, 8, 0, 8, 0.000310, -
,16, 4000,,1000, RS, lab004-076, 11, 11, 3, 14, 0.000269, -
,16, 4000,,1000, SR, lab004-075, 6, 6, 14, 20, 0.000200, -
,16, 4000,,1000, RS, lab004-076, 9, 9, 1, 10, 0.000483, -
,16, 4000,,1000, RS, lab004-077, 14, 14, 6, 20, 0.000147, -
,16, 4000,,1000, SR, lab004-075, 5, 5, 13, 18, 0.000198, -
,16, 4000,,1000, SR, lab004-074, 2, 2, 10, 12, 0.000274, -
,16, 4000,,1000, RS, lab004-077, 13, 13, 5, 18, 0.000209, -
,16, 4000,,1000, SR, lab004-074, 3, 3, 11, 14, 0.000271, -
,16, 4000,,1000, RS, lab004-077, 15, 15, 7, 22, 0.000251, -
,16, 4000,,1000, SR, lab004-075, 4, 4, 12, 16, 0.000204, -
,16, 4000,,1000, RS, lab004-077, 12, 12, 4, 16, 0.000211, -
,16, 4000,,1000, SR, lab004-075, 7, 7, 15, 22, 0.000210, -
,16, 4000,,1000, SR, lab004-074, 0, 0, 8, 8, 0.000268, -
,16, 4000,,1000, RS, lab004-076, 8, 8, 0, 8, 0.000213, -
,16, 4000,,1000, RS, lab004-077, 14, 14, 6, 20, 0.000102, -
